question,answer,category,language,url,intent,answer_type
Quels sont les cours de Génie Civil?,Consultez la page des formations.,Formation,fr,https://isetsf.rnu.tn/fr/formation/genie-civil,info,"text"
What are the Computer Science courses?,Check the training section.,Formation,en,https://isetsf.rnu.tn/fr/formation/informatique,info,"text"
Comment s'inscrire à l'ISET?,Suivez les étapes sur la page d'inscription.,Inscription,fr,https://isetsf.rnu.tn/fr/inscription,info,"text"
Quelles sont les dates d'inscription?,"Désolé, je n’ai pas de réponse pertinente.",Inscription,fr,,info,"text"
Quelles sont les formations en Sciences Économiques et Gestion?,Consultez la page des licences en Sciences Économiques et Gestion.,Formation,fr,https://isetsf.rnu.tn/fr/formation/sc-eco-et-gestion,info,"text"
What programs are available in Mechanical Engineering?,Visit the Mechanical Engineering training page.,Formation,en,https://isetsf.rnu.tn/fr/formation/genie-mecanique,info,"text"
Quels sont les mastères professionnels à l'ISET Sfax?,Découvrez les mastères professionnels sur la page dédiée.,Formation,fr,https://isetsf.rnu.tn/fr/formation/mastere-professionnel,info,"text"
How can I apply for a professional master’s at ISET Sfax?,Follow the online application process for master’s programs.,Formation,en,https://isetsf.rnu.tn/fr/candidature-premiere-annee-mastere,info,"text"
Comment faire une pré-inscription en ligne?,Utilisez le site d'inscription à distance pour la pré-inscription.,Inscription,fr,https://isetsf.rnu.tn/fr/inscription,info,"text"
What is the process for remote registration?,Complete the remote registration on the official platform.,Inscription,en,https://isetsf.rnu.tn/fr/inscription,info,"text"
Quels sont les clubs étudiants à l'ISET Sfax?,Explorez les clubs et activités sur la page de la vie estudiantine.,Vie estudiantine,fr,https://isetsf.rnu.tn/fr/clubs,info,"text"
What student clubs are there at ISET Sfax?,Check the student life section for club information.,Vie estudiantine,en,https://isetsf.rnu.tn/fr/clubs,info,"text"
Quels services offre le Centre Informatique?,Le Centre Informatique fournit des ressources et une assistance technique.,Services,fr,https://isetsf.rnu.tn/fr/centre-informatique,info,"text"
What are the IT services at ISET Sfax?,The IT Center offers computing resources and technical support.,Services,en,https://isetsf.rnu.tn/fr/centre-informatique,info,"text"
Comment trouver des offres de stage?,Consultez les offres de stage sur la page entreprise.,Entreprise,fr,https://isetsf.rnu.tn/fr/offres-de-stage,info,"text"
Where can I find internship opportunities?,Visit the enterprise section for internship offers.,Entreprise,en,https://isetsf.rnu.tn/fr/offres-de-stage,info,"text"
Quels sont les partenariats académiques de l'ISET?,Découvrez les partenariats académiques sur la page dédiée.,Partenariats,fr,https://isetsf.rnu.tn/fr/partenariats-academique,info,"text"
What academic partnerships does ISET Sfax have?,Check the academic partnerships page for details.,Partenariats,en,https://isetsf.rnu.tn/fr/partenariats-academique,info,"text"
Quelles sont les conditions pour candidater à un mastère?,Vérifiez les critères sur la page de candidature au mastère.,Formation,fr,https://isetsf.rnu.tn/fr/candidature-premiere-annee-mastere,info,"text"
What are the requirements for a master’s application?,Review the eligibility criteria on the master’s application page.,Formation,en,https://isetsf.rnu.tn/fr/candidature-premiere-annee-mastere,info,"text"
Comment contacter l'ISET Sfax?,Utilisez les coordonnées sur la page de contact.,Contact,fr,https://isetsf.rnu.tn/fr/contact,info,"text"
How can I contact ISET Sfax?,Find contact information on the official contact page.,Contact,en,https://isetsf.rnu.tn/fr/contact,info,"text"
Quelles sont les manifestations organisées à l'ISET?,Consultez les événements sur la page des manifestations.,Vie estudiantine,fr,https://isetsf.rnu.tn/fr/manifestations,info,"text"
What events are organized at ISET Sfax?,Explore events on the student activities page.,Vie estudiantine,en,https://isetsf.rnu.tn/fr/manifestations,info,"text"
Quels sont les programmes de licence à l'ISET?,Consultez la liste des licences sur la page des formations.,Formation,fr,https://isetsf.rnu.tn/fr/formation/licences,info,"text"
What undergraduate programs are offered at ISET Sfax?,Check the undergraduate programs on the training page.,Formation,en,https://isetsf.rnu.tn/fr/formation/licences,info,"text"
Comment obtenir un certificat de scolarité?,Demandez votre certificat via le portail étudiant.,Services,fr,https://isetsf.rnu.tn/fr/portail-etudiant,info,"text"
How can I get a student certificate?,Request a certificate through the student portal.,Services,en,https://isetsf.rnu.tn/fr/portail-etudiant,info,"text"
Quels sont les frais d'inscription à l'ISET?,Consultez les frais sur la page des admissions.,Admissions,fr,https://isetsf.rnu.tn/fr/admissions,info,"text"
What are the tuition fees at ISET Sfax?,Check the tuition fees on the admissions page.,Admissions,en,https://isetsf.rnu.tn/fr/admissions,info,"text"
Comment candidater pour une bourse?,Suivez les instructions sur la page des bourses.,Bourses,fr,https://isetsf.rnu.tn/fr/bourses,info,"text"
How do I apply for a scholarship?,Follow the scholarship application process on the dedicated page.,Bourses,en,https://isetsf.rnu.tn/fr/bourses,info,"text"
Quels sont les programmes d'échange internationaux?,Découvrez les programmes d'échange sur la page internationale.,International,fr,https://isetsf.rnu.tn/fr/international,info,"text"
What international exchange programs are available?,Check the international programs page for exchange opportunities.,International,en,https://isetsf.rnu.tn/fr/international,info,"text"
Quelles sont les opportunités de recherche à l'ISET?,Consultez les projets de recherche sur la page dédiée.,Recherche,fr,https://isetsf.rnu.tn/fr/recherche,info,"text"
What research opportunities are there at ISET Sfax?,Explore research projects on the research page.,Recherche,en,https://isetsf.rnu.tn/fr/recherche,info,"text"
Comment rejoindre le réseau des anciens élèves?,Inscrivez-vous sur la plateforme des alumni.,Alumni,fr,https://isetsf.rnu.tn/fr/alumni,info,"text"
How can I join the ISET Sfax alumni network?,Register on the alumni platform.,Alumni,en,https://isetsf.rnu.tn/fr/alumni,info,"text"
