question,answer_id,feedback,timestamp,similarity_score
Comment s’inscrire à l’ISET Sfax ?,2,pending,2025-05-05T18:46:29.311940,1.0
Comment s’inscrire à l’ISET Sfax ?,2,pending,2025-05-05T18:46:31.848169,1.0
Comment obtenir mon emploi du temps ?,0,pending,2025-05-05T18:50:46.123295,0.8164965809277261
Comment obtenir mon emploi du temps ?,0,pending,2025-05-05T18:52:31.301479,0.8164965809277261
Comment obtenir mon emploi du temps ?,2,positive,2025-05-05T21:08:04.234737,
Comment s’inscrire à l’ISET Sfax ?,2,pending,2025-05-05T21:24:04.024250,1.0000000000000002
Comment s’inscrire à l’ISET Sfax ?,2,pending,2025-05-05T21:24:08.064865,1.0000000000000002
Comment s’inscrire à l’ISET Sfax ?,2,pending,2025-05-05T21:24:50.592508,1.0000000000000002
Comment s’inscrire à l’ISET Sfax ?,2,pending,2025-05-05T21:43:17.459052,1.0000000000000002
Comment s’inscrire à l’ISET Sfax ?,2,pending,2025-05-05T22:46:26.387377,1.0000000000000002
Comment s’inscrire à l’ISET Sfax ?,2,positive,2025-05-05T22:46:32.561975,
inscription,10,pending,2025-05-05T22:47:22.106780,0.5744417692106352
Quels sont les cours de Génie Civil?,0,pending,2025-05-06T14:04:09.475048,1.0000000000000002
What are the Computer Science courses?,0,pending,2025-05-06T14:04:11.523287,0.7745966692414836
Comment s'inscrire à l'ISET?,1,pending,2025-05-06T14:04:13.582383,1.0000000000000002
Quels sont les cours de Génie Civil?,0,pending,2025-05-06T14:11:09.861925,1.0000000000000002
What are the Computer Science courses?,0,pending,2025-05-06T14:11:11.906526,0.7745966692414836
Comment s'inscrire à l'ISET?,1,pending,2025-05-06T14:11:13.956112,1.0000000000000002
Quels sont les cours de Génie Civil?,0,pending,2025-05-06T14:16:11.682687,1.0000000000000002
What are the Computer Science courses?,0,pending,2025-05-06T14:16:13.740781,0.7745966692414836
Comment s'inscrire à l'ISET?,1,pending,2025-05-06T14:16:15.798793,1.0000000000000002
Quels sont les cours de Génie Civil?,0,pending,2025-05-06T14:21:18.645073,1.0000000000000002
What are the Computer Science courses?,0,pending,2025-05-06T14:21:20.710377,0.7745966692414836
Comment s'inscrire à l'ISET?,1,pending,2025-05-06T14:21:22.777119,1.0000000000000002
Quels sont les cours de Génie Civil?,0,pending,2025-05-06T15:03:32.033448,1.0000000000000002
Comment s'inscrire à l'ISET?,1,pending,2025-05-06T15:04:35.398372,1.0000000000000002
Comment s'inscrire à l'ISET?,1,positive,2025-05-06T15:05:26.937689,
Quels sont les cours de Génie Civil?,0,pending,2025-05-06T15:08:34.588920,1.0000000000000002
Comment s'inscrire à l'ISET?,1,pending,2025-05-06T15:09:25.996575,1.0000000000000002
Quels sont les cours de Génie Civil?,0,pending,2025-05-06T15:11:44.499253,1.0000000000000002
Comment s'inscrire à l'ISET?,1,pending,2025-05-06T15:12:42.846059,1.0000000000000002
Quels sont les cours de Génie Civil?,0,pending,2025-05-06T15:21:55.136467,1.0000000000000002
Comment s'inscrire à l'ISET?,1,pending,2025-05-06T15:23:28.381246,1.0000000000000002
Quels sont les cours de Génie Civil?,0,pending,2025-05-06T15:35:57.539890,1.0000000000000002
Quels sont les cours de Génie Civil?,0,pending,2025-05-06T15:36:04.093041,1.0000000000000002
Comment s'inscrire à l'ISET?,1,pending,2025-05-06T15:36:26.621719,1.0000000000000002
Quels sont les cours de Génie Civil?,0,pending,2025-05-06T15:38:18.510606,1.0000000000000002
Quels sont les cours de Génie Civil?,0,pending,2025-05-06T15:39:32.753027,1.0000000000000002
Quels sont les cours de Génie Civil?,0,pending,2025-05-06T15:41:51.429683,1.0000000000000002
Quels sont les cours de Génie Civil?,0,pending,2025-05-06T15:53:12.319762,1.0000000000000002
Quels sont les cours de Génie Civil?,0,pending,2025-05-06T15:54:45.349788,1.0000000000000002
Comment s'inscrire à l'ISET?,1,pending,2025-05-06T15:55:14.154640,1.0000000000000002
Comment s'inscrire à l'ISET?,1,negative,2025-05-06T15:55:19.033228,
Quels sont les cours de Génie Civil?,0,pending,2025-05-07T17:38:55.478557,1.0
What are the Computer Science courses?,0,pending,2025-05-07T17:38:57.557321,0.7745966692414836
Comment s'inscrire à l'ISET?,1,pending,2025-05-07T17:38:59.619267,1.0
Quels sont les cours de Génie Civil?,0,pending,2025-05-07T21:03:31.025531,1.0
What are the Computer Science courses?,0,pending,2025-05-07T21:03:33.091384,0.7745966692414836
Quels sont les cours de Génie Civil?,0,pending,2025-05-07T21:32:45.886409,1.0
What are the Computer Science courses?,0,pending,2025-05-07T21:32:47.989459,0.7745966692414836
Quels sont les cours de Génie Civil?,0,pending,2025-05-07T21:43:41.405125,1.0
What are the Computer Science courses?,0,pending,2025-05-07T21:43:43.510837,0.7745966692414836
Quels sont les cours de Génie Civil?,0,pending,2025-05-07T22:00:43.130848,1.0
What are the Computer Science courses?,0,pending,2025-05-07T22:00:45.202251,0.7745966692414836
Comment s'inscrire à l'ISET?,1,pending,2025-05-07T22:00:47.288568,1.0
Quels sont les cours de Génie Civil?,0,pending,2025-05-07T22:12:50.698305,1.0
What are the Computer Science courses?,0,pending,2025-05-07T22:12:52.757627,0.7745966692414836
Comment s'inscrire à l'ISET?,1,pending,2025-05-07T22:12:54.856180,1.0
Quels sont les cours de Génie Civil?,0,pending,2025-05-07T22:26:19.189222,1.0
What are the Computer Science courses?,0,pending,2025-05-07T22:26:21.258873,0.7745966692414836
Comment s'inscrire à l'ISET?,1,pending,2025-05-07T22:26:23.313785,1.0
Quels sont les cours de Génie Civil?,0,pending,2025-05-07T22:44:42.629419,1.0
What are the Computer Science courses?,0,pending,2025-05-07T22:44:44.706008,0.7745966692414836
Comment s'inscrire à l'ISET?,1,pending,2025-05-07T22:44:46.783980,1.0
Quels sont les cours de Génie Civil?,0,pending,2025-05-07T22:46:13.509500,1.0
What are the Computer Science courses?,0,pending,2025-05-07T22:46:15.554797,0.7745966692414836
Comment s'inscrire à l'ISET?,1,pending,2025-05-07T22:46:17.600391,1.0
Quels sont les cours de Génie Civil?,0,pending,2025-05-07T23:31:35.233350,1.0
What are the Computer Science courses?,0,pending,2025-05-07T23:31:37.342386,0.7745966692414836
Comment s'inscrire à l'ISET?,1,pending,2025-05-07T23:31:39.409684,1.0
Quelles sont les dates d'inscription?,2,pending,2025-05-07T23:31:41.516990,1.0
Quels sont les cours de Génie Civil?,0,pending,2025-05-07T23:33:42.764533,1.0
What are the Computer Science courses?,0,pending,2025-05-07T23:33:44.863983,0.7745966692414836
Comment s'inscrire à l'ISET?,1,pending,2025-05-07T23:33:46.939627,1.0
Quelles sont les dates d'inscription?,2,pending,2025-05-07T23:33:49.035654,1.0
Quels sont les cours de Génie Civil?,0,pending,2025-05-07T23:40:50.128769,1.0
Comment s'inscrire à l'ISET?,1,pending,2025-05-07T23:41:11.012997,1.0
Quels sont les cours de Génie Civil?,0,pending,2025-05-07T23:46:47.573959,1.0
What are the Computer Science courses?,0,pending,2025-05-07T23:46:49.742618,0.7745966692414836
Comment s'inscrire à l'ISET?,1,pending,2025-05-07T23:46:51.826742,1.0
Quelles sont les dates d'inscription?,2,pending,2025-05-07T23:46:53.905073,1.0
Quels sont les cours de Génie Civil?,0,pending,2025-05-07T23:54:13.151010,1.0
What are the Computer Science courses?,0,pending,2025-05-07T23:54:15.234663,0.7745966692414836
Comment s'inscrire à l'ISET?,1,pending,2025-05-07T23:54:17.285448,1.0
Quelles sont les dates d'inscription?,2,pending,2025-05-07T23:54:19.354885,1.0
Quels sont les cours de Génie Civil?,0,pending,2025-05-08T00:10:24.460051,1.0
What are the Computer Science courses?,0,pending,2025-05-08T00:10:26.564690,0.7745966692414836
Comment s'inscrire à l'ISET?,1,pending,2025-05-08T00:10:28.639242,1.0
Quelles sont les dates d'inscription?,2,pending,2025-05-08T00:10:30.702440,1.0
Quelles sont les formations en Sciences Économiques et Gestion?,3,pending,2025-05-08T00:10:32.784226,1.0
How can I apply for a professional master’s at ISET Sfax?,2,pending,2025-05-08T00:10:34.874506,1.0
Comment faire une pré-inscription en ligne?,5,pending,2025-05-08T00:10:36.967905,0.8698516078336497
What student clubs are there at ISET Sfax?,4,pending,2025-05-08T00:10:39.048063,1.0
Quels services offre le Centre Informatique?,7,pending,2025-05-08T00:10:41.140271,1.0
How can I contact ISET Sfax?,9,pending,2025-05-08T00:10:43.303689,1.0
Comment trouver des offres de stage?,8,pending,2025-05-08T00:10:45.356351,0.6455414987249457
Quels sont les partenariats académiques de l'ISET?,9,pending,2025-05-08T00:10:47.429337,1.0
Quels sont les cours de Génie Civil?,0,pending,2025-05-08T00:18:10.062258,1.0
What are the Computer Science courses?,0,pending,2025-05-08T00:18:12.147604,0.7745966692414836
Comment s'inscrire à l'ISET?,1,pending,2025-05-08T00:18:14.235080,1.0
Quelles sont les dates d'inscription?,2,pending,2025-05-08T00:18:16.331283,1.0
Quelles sont les formations en Sciences Économiques et Gestion?,3,pending,2025-05-08T00:18:18.440476,1.0
How can I apply for a professional master’s at ISET Sfax?,2,pending,2025-05-08T00:18:20.512615,1.0
Comment faire une pré-inscription en ligne?,5,pending,2025-05-08T00:18:22.593308,0.8698516078336497
What student clubs are there at ISET Sfax?,4,pending,2025-05-08T00:18:24.682435,1.0
Quels services offre le Centre Informatique?,7,pending,2025-05-08T00:18:26.763756,1.0
How can I contact ISET Sfax?,9,pending,2025-05-08T00:18:28.859886,1.0
Comment trouver des offres de stage?,8,pending,2025-05-08T00:18:30.951958,0.6455414987249457
Quels sont les partenariats académiques de l'ISET?,9,pending,2025-05-08T00:18:33.014318,1.0
What are the tuition fees at ISET Sfax?,5,pending,2025-05-08T00:18:45.433327,0.5595626757386623
What international exchange programs are available?,1,pending,2025-05-08T00:18:53.694963,0.6546536707079773
What research opportunities are there at ISET Sfax?,5,pending,2025-05-08T00:18:57.846580,0.5595626757386623
How can I join the ISET Sfax alumni network?,5,pending,2025-05-08T00:19:01.970317,0.5595626757386623
Comment s'inscrire à un club étudiant?,6,pending,2025-05-08T00:19:10.230044,0.5467204626955793
Quels sont les cours de Génie Civil?,0,pending,2025-05-08T00:20:30.097904,1.0
What are the Computer Science courses?,0,pending,2025-05-08T00:20:32.186087,0.7745966692414836
Comment s'inscrire à l'ISET?,1,pending,2025-05-08T00:20:34.264186,1.0
Quelles sont les dates d'inscription?,2,pending,2025-05-08T00:20:36.331392,1.0
Quelles sont les formations en Sciences Économiques et Gestion?,3,pending,2025-05-08T00:20:38.412333,1.0
How can I apply for a professional master’s at ISET Sfax?,2,pending,2025-05-08T00:20:40.495711,1.0
Comment faire une pré-inscription en ligne?,5,pending,2025-05-08T00:20:42.580392,0.8698516078336497
What student clubs are there at ISET Sfax?,4,pending,2025-05-08T00:20:44.666758,1.0
Quels services offre le Centre Informatique?,7,pending,2025-05-08T00:20:46.752852,1.0
How can I contact ISET Sfax?,9,pending,2025-05-08T00:20:48.838976,1.0
Comment trouver des offres de stage?,8,pending,2025-05-08T00:20:50.929956,0.6455414987249457
Quels sont les partenariats académiques de l'ISET?,9,pending,2025-05-08T00:20:53.005575,1.0
What are the tuition fees at ISET Sfax?,5,pending,2025-05-08T00:21:05.379700,0.5595626757386623
What international exchange programs are available?,1,pending,2025-05-08T00:21:13.616199,0.6546536707079773
What research opportunities are there at ISET Sfax?,5,pending,2025-05-08T00:21:17.736190,0.5595626757386623
How can I join the ISET Sfax alumni network?,5,pending,2025-05-08T00:21:21.848505,0.5595626757386623
Comment s'inscrire à un club étudiant?,6,pending,2025-05-08T00:21:30.149159,0.5467204626955793
Quels sont les cours de Génie Civil?,0,pending,2025-05-08T00:29:32.981937,1.0
What are the Computer Science courses?,0,pending,2025-05-08T00:29:35.076053,0.741160907884159
Comment s'inscrire à l'ISET?,1,pending,2025-05-08T00:29:37.153341,1.0
Quelles sont les dates d'inscription?,2,pending,2025-05-08T00:29:39.207433,1.0
Quelles sont les formations en Sciences Économiques et Gestion?,3,pending,2025-05-08T00:29:41.285792,0.9999999999999999
How can I apply for a professional master’s at ISET Sfax?,2,pending,2025-05-08T00:29:43.342042,1.0
Comment faire une pré-inscription en ligne?,5,pending,2025-05-08T00:29:45.406874,0.8728812694922703
What student clubs are there at ISET Sfax?,4,pending,2025-05-08T00:29:47.462656,1.0
Quels services offre le Centre Informatique?,7,pending,2025-05-08T00:29:49.520783,1.0
How can I contact ISET Sfax?,9,pending,2025-05-08T00:29:51.576624,1.0
Comment trouver des offres de stage?,8,pending,2025-05-08T00:29:53.641111,0.6270187135043425
Quels sont les partenariats académiques de l'ISET?,9,pending,2025-05-08T00:29:55.703603,1.0
